  ,Serial Number,Company Name                                                    ,Employee Markme             ,Description                    ,Leave
0 ,9788189999599,TALES OF SHIVA                                                  ,Mark                        ,mark                           ,0
1 ,9780099578079,1Q84 THE COMPLETE TRILOGY                                       ,HARUKI MURAKAMI             ,Mark                           ,0
2 ,9780198082897,MY KUMAN                                                        ,Mark                        ,Mark                           ,0
3 ,9780007880331,THE GOD OF SMAAL THINGS                                         ,ARUNDHATI ROY               ,4TH HARPER COLLINS             ,2
4 ,9780545060455,THE BLACK CIRCLE                                                ,Mark                        ,4TH HARPER COLLINS             ,0
5 ,9788126525072,THE THREE LAWS OF PERFORMANCE                                   ,Mark                        ,4TH HARPER COLLINS             ,0
6 ,9789381626610,CHAMarkKYA MANTRA                                               ,Mark                        ,4TH HARPER COLLINS             ,0
7 ,9788184513523,59.FLAGS                                                        ,Mark                        ,4TH HARPER COLLINS             ,0
8 ,9780743234801,THE POWER OF POSITIVE THINKING FROM                             ,Mark                        ,A & A PUBLISHER                ,0
9 ,9789381529621,YOU CAN IF YO THINK YO CAN                                      ,PEALE                       ,A & A PUBLISHER                ,0
10,9788183223966,DONGRI SE DUBAI TAK (MPH)                                       ,Mark                        ,A & A PUBLISHER                ,0
11,9788187776005,MarkLANDA ADYTAN KOSH                                           ,Mark                        ,AADISH BOOK DEPOT              ,0
12,9788187776013,MarkLANDA VISHAL SHABD SAGAR                                    ,-                           ,AADISH BOOK DEPOT              ,1
13,8187776021   ,MarkLANDA CONCISE DICT(ENG TO HINDI)                            ,Mark                        ,AADISH BOOK DEPOT              ,0
14,9789384716165,LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,Mark                        ,AAM COMICS                     ,2
15,9789384716233,LN. MarkIK SUNDER SINGH                                         ,N.A                         ,AAN COMICS                     ,0
16,9789384850319,I AM KRISHMark                                                  ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,1
17,9789384850357,DON'T TEACH ME TOLERANCE INDIA                                  ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,0
18,9789384850364,MUJHE SAHISHNUTA MAT SIKHAO BHARAT                              ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,0
19,9789384850746,SECRETS OF DESTINY                                              ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,1
20,9789384850753,BHAGYA KE RAHASYA (HINDI) SECRET OF DESTINY                     ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,1
21,9788192669038,MEIN MANN HOON                                                  ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,0
22,9789384850098,I AM THE MIND                                                   ,DEEP TRIVEDI                ,AATMARAM & SONS                ,0
23,9780349121420,THE ART OF CHOOSING                                             ,SHEEMark IYENGAR            ,ABACUS                         ,0
24,9780349123462,IN SPITE OF THE GODS                                            ,EDWARD LUCE                 ,ABACUS                         ,1
25,9788188440061,QUESTIONS & ANWERS ABOUT THE GREAT BIBLE                        ,Mark                        ,ABC PUBLISHERS DISTRIBUTORS    ,4
